id,name,brand,is_clone,clone_of,notes,raw_image_url,clean_image_url,price_history,status
59,mon-guerlain,guerlain,False,,"lavender, bergamot, iris, jasmine sambac, rose, tahitian vanilla, coumarin, australian sandalwood, licorice, benzoin, patchouli",https://fimgs.net/images/perfume/nd.43297.jpg,,,
60,bleu-de-chanel-eau-de-parfum,chanel,False,,"grapefruit, lemon, mint, pink pepper, bergamot, aldehydes, coriander, ginger, nutmeg, jasmine, melon, incense, amber, cedar, sandalwood, patchouli, amberwood, labdanum",https://fimgs.net/images/perfume/nd.25967.jpg,,,
61,le-male-le-parfum,jean-paul-gaultier,False,,"cardamom, lavender, iris, vanilla, oriental notes, woodsy notes",https://fimgs.net/images/perfume/nd.61856.jpg,,,
62,pink-sugar,aquolina,False,,"raspberry, orange, bergamot, fig leaf, cotton candy, licorice, strawberry, red berries, lily-of-the-valley, caramel, vanilla, musk, tonka bean, sandalwood",https://fimgs.net/images/perfume/nd.975.jpg,,,
63,miracle,lancome,False,,"litchi, freesia, magnolia, pepper, ginger, mandarin orange, jasmine, musk, amber",https://fimgs.net/images/perfume/nd.184.jpg,,,
64,chanel-no-5-parfum,chanel,False,,"aldehydes, ylang-ylang, neroli, bergamot, lemon, iris, jasmine, rose, orris root, lily-of-the-valley, civet, musk, sandalwood, amber, moss, vanilla, vetiver, patchouli",https://fimgs.net/images/perfume/nd.28711.jpg,,,
65,versace-man-eau-fraiche,versace,False,,"lemon, bergamot, carambola (star fruit), cardamom, brazilian rosewood, cedar, tarragon, sage, pepper, musk, woodsy notes, saffron, amber, sycamore",https://fimgs.net/images/perfume/nd.644.jpg,,,
66,amor-amor,cacharel,False,,"black currant, orange, mandarin orange, grapefruit, cassia, bergamot, rose, apricot, jasmine, lily, lily-of-the-valley, vanilla, tonka bean, musk, amber, virginia cedar",https://fimgs.net/images/perfume/nd.238.jpg,,,
67,lady-million,paco-rabanne,False,,"raspberry, neroli, amalfi lemon, jasmine, african orange flower, gardenia, white honey, patchouli, amber",https://fimgs.net/images/perfume/nd.9045.jpg,,,
68,green-tea,elizabeth-arden,False,,"lemon, bergamot, mint, orange peel, rhubarb, jasmine, oakmoss, musk, fennel, carnation, white amber, green tea, celery seeds, caraway, cloves, amber",https://fimgs.net/images/perfume/nd.83.jpg,,,
69,cloud,ariana-grande,False,,"lavender, pear, bergamot, whipped cream, coconut, praline, vanilla orchid, musk, woody notes",https://fimgs.net/images/perfume/nd.50384.jpg,,,
70,un-jardin-sur-le-nil,hermes,False,,"grapefruit, green mango, tomato, carrot, lotus, bulrush, orange, hiacynth, peony, musk, iris, incense, labdanum, cinnamon",https://fimgs.net/images/perfume/nd.18.jpg,,,
